Package,Built
abc,3.5.0
abc.data,3.5.0
abind,3.5.0
acepack,3.5.0
acss.data,3.5.0
actuar,3.5.0
ada,3.5.0
additivityTests,3.5.0
ade4,3.5.0
ade4TkGUI,3.5.0
adegenet,3.5.0
adegraphics,3.5.0
adehabitatHR,3.5.0
adehabitatLT,3.5.0
adehabitatMA,3.5.0
adephylo,3.5.0
adfExplorer,3.5.0
ADGofTest,3.5.0
adlift,3.5.0
AER,3.5.0
agricolae,3.5.0
AICcmodavg,3.5.0
airGR,3.5.0
akima,3.5.0
alabama,3.5.0
AlgDesign,3.5.0
alr4,3.5.0
amap,3.5.0
Amelia,3.5.0
analogue,3.5.0
AnalyzeFMRI,3.5.0
animation,3.5.0
antaresProcessing,3.5.0
antaresRead,3.5.0
Anthropometry,3.5.0
anytime,3.5.0
aod,3.5.0
ape,3.5.0
aplpack,3.5.0
approximator,3.5.0
aqp,3.5.0
ArchaeoPhases,3.5.0
archetypes,3.5.0
archivist,3.5.0
argparse,3.5.0
arm,3.5.0
aroma.affymetrix,3.5.0
aroma.apd,3.5.0
aroma.core,3.5.0
arules,3.5.0
aRxiv,3.5.0
ascii,3.5.0
ash,3.5.0
assertive,3.5.0
assertive.base,3.5.0
assertive.code,3.5.0
assertive.data,3.5.0
assertive.data.uk,3.5.0
assertive.data.us,3.5.0
assertive.datetimes,3.5.0
assertive.files,3.5.0
assertive.matrices,3.5.0
assertive.models,3.5.0
assertive.numbers,3.5.0
assertive.properties,3.5.0
assertive.reflection,3.5.0
assertive.sets,3.5.0
assertive.strings,3.5.0
assertive.types,3.5.0
assertr,3.5.0
assertthat,3.5.0
async,3.5.0
AUC,3.5.0
audio,3.5.0
AWR,3.5.0
aws.alexa,3.5.0
aws.cloudtrail,3.5.0
aws.ec2metadata,3.5.0
aws.iam,3.5.0
aws.lambda,3.5.0
aws.polly,3.5.0
aws.s3,3.5.0
aws.ses,3.5.0
aws.signature,3.5.0
aws.sns,3.5.0
aws.sqs,3.5.0
awsMethods,3.5.0
babynames,3.5.0
backports,3.5.0
bartMachineJARs,3.5.0
base64,3.5.0
base64enc,3.5.0
base64url,3.5.0
BatchExperiments,3.5.0
BatchJobs,3.5.0
bayesLife,3.5.0
bayesm,3.5.0
bayesplot,3.5.0
bayesPop,3.5.0
bayesTFR,3.5.0
BaylorEdPsych,3.5.0
BB,3.5.0
BBmisc,3.5.0
bbmle,3.5.0
Bchron,3.5.0
bdsmatrix,3.5.0
BEACH,3.5.0
beanplot,3.5.0
BEDMatrix,3.5.0
beeswarm,3.5.0
bench,3.5.1
benchmarkmeData,3.5.0
betareg,3.5.0
BH,3.5.0
bibtex,3.5.0
biclust,3.5.0
bigalgebra,3.5.0
biganalytics,3.5.0
biglm,3.5.0
bigmemory,3.5.0
bigmemory.sri,3.5.0
BigQuic,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
binGroup,3.5.0
binom,3.5.0
bio3d,3.5.0
biogram,3.5.0
bioinactivation,3.5.0
BioInstaller,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
blogdown,3.5.0
BMA,3.5.0
bmp,3.5.0
bnlearn,3.5.0
boa,3.5.0
bold,3.5.0
Bolstad2,3.5.0
bookdown,3.5.0
bootstrap,3.5.0
bpcp,3.5.0
brew,3.5.0
brglm,3.5.0
bridgesampling,3.5.0
Brobdingnag,3.5.0
broman,3.5.0
broom,3.5.0
brranching,3.5.0
btergm,3.5.0
c3net,3.5.0
ca,3.5.0
Cairo,3.5.0
calibrator,3.5.0
callr,3.5.1
candisc,3.5.0
car,3.5.0
carData,3.5.0
caret,3.5.0
catdata,3.5.0
caTools,3.5.0
cba,3.5.0
CDM,3.5.0
cellranger,3.5.0
changepoint,3.5.0
checkmate,3.5.0
chemometrics,3.5.0
chron,3.5.0
circlize,3.5.0
CircStats,3.5.0
circular,3.5.0
cladoRcpp,3.5.0
classInt,3.5.0
cli,3.5.1
clinfun,3.5.0
clipr,3.5.0
clisymbols,3.5.0
clue,3.5.0
clusterGeneration,3.5.0
clv,3.5.0
cmprsk,3.5.0
coda,3.5.0
coin,3.5.0
colorRamps,3.5.0
colorspace,3.5.0
colourpicker,3.5.0
combinat,3.5.0
commonmark,3.5.0
compare,3.5.0
complexplus,3.5.0
compositions,3.5.0
CompQuadForm,3.5.0
condvis,3.5.0
coneproj,3.5.0
configr,3.5.0
conflicted,3.5.1
contfrac,3.5.0
copula,3.5.0
CORElearn,3.5.0
corpcor,3.5.0
corrgram,3.5.0
corrplot,3.5.0
countrycode,3.5.0
covr,3.5.1
cowplot,3.5.0
cramer,3.5.0
crancache,3.5.1
cranlike,3.5.1
cranlogs,3.5.0
crayon,3.5.0
crminer,3.5.0
crochet,3.5.0
crosstalk,3.5.0
crul,3.5.0
cshapes,3.5.0
csvy,3.5.0
ctv,3.5.0
cubature,3.5.0
curl,3.5.0
CVST,3.5.0
cyclocomp,3.5.0
d3heatmap,3.5.0
DAAG,3.5.0
dae,3.5.0
daff,3.5.0
dagitty,3.5.0
data.table,3.5.0
data.tree,3.5.0
datapasta,3.5.0
datasauRus,3.5.0
DBI,3.5.0
DBItest,3.5.0
dbplyr,3.5.0
dbscan,3.5.0
dcurver,3.5.0
ddalpha,3.5.0
ddpcr,3.5.0
debugme,3.5.0
degreenet,3.5.0
deldir,3.5.0
dendextend,3.5.0
dendroextras,3.5.0
DendSer,3.5.0
DEoptim,3.5.0
DEoptimR,3.5.0
deparse,3.5.0
depth,3.5.0
Deriv,3.5.0
desc,3.5.1
descr,3.5.0
DescTools,3.5.0
deSolve,3.5.0
devtools,3.5.1
dfcrm,3.5.0
dfoptim,3.5.0
DHARMa,3.5.0
diagram,3.5.0
DiagrammeR,3.5.0
DiagrammeRsvg,3.5.0
dichromat,3.5.0
diffobj,3.5.0
diffr,3.5.0
digest,3.5.0
dimRed,3.5.0
diptest,3.5.0
directlabels,3.5.0
DiscreteWeibull,3.5.0
discretization,3.5.0
dismo,3.5.0
DISTRIB,3.5.0
DistributionUtils,3.5.0
diveMove,3.5.0
dlm,3.5.0
dlstats,3.5.0
doBy,3.5.0
dodgr,3.5.0
doParallel,3.5.0
doRedis,3.5.0
doRNG,3.5.0
DoseFinding,3.5.0
dotCall64,3.5.0
downloader,3.5.0
dplyr,3.5.1
drc,3.5.0
drgee,3.5.0
DRR,3.5.0
DT,3.5.0
dtplyr,3.5.0
dummies,3.5.0
dummy,3.5.0
dunn.test,3.5.0
DWreg,3.5.0
dygraphs,3.5.0
dynamicTreeCut,3.5.0
dynlm,3.5.0
e1071,3.5.0
earth,3.5.0
EbayesThresh,3.5.0
Ecdat,3.5.0
Ecfun,3.5.0
ecodist,3.5.0
EDISON,3.5.0
effects,3.5.0
elastic,3.5.0
elasticnet,3.5.0
ellipse,3.5.0
elliptic,3.5.0
emdbook,3.5.0
emmeans,3.5.0
emo,3.5.0
emojifont,3.5.0
emplik,3.5.0
emulator,3.5.0
enc,3.5.0
energy,3.5.0
ensurer,3.5.0
entropy,3.5.0
EnvStats,3.5.0
Epi,3.5.0
EpiModel,3.5.0
erah,3.5.0
erer,3.5.0
ergm,3.5.0
ergm.count,3.5.0
ergm.userterms,3.5.0
estimability,3.5.0
etm,3.5.0
etrunct,3.5.0
evaluate,3.5.1
evd,3.5.0
exact2x2,3.5.0
exactci,3.5.0
excelgesis,3.5.0
expint,3.5.0
expm,3.5.0
extraDistr,3.5.0
extrafont,3.5.0
extrafontdb,3.5.0
factoextra,3.5.0
FactoMineR,3.5.0
Fahrmeir,3.5.0
fail,3.5.0
fansi,3.5.0
faraway,3.5.0
fastICA,3.5.0
fastmatch,3.5.0
fBasics,3.5.0
FD,3.5.0
fda,3.5.0
fdrtool,3.5.0
feather,3.5.0
fExtremes,3.5.0
ff,3.5.0
ffbase,3.5.0
fftwtools,3.5.0
fGarch,3.5.0
fgui,3.5.0
fields,3.5.0
filehash,3.5.0
filehashSQLite,3.5.0
filelock,3.5.0
filematrix,3.5.0
filesstrings,3.5.0
findpython,3.5.0
fit.models,3.5.0
fitdistrplus,3.5.0
flashClust,3.5.0
flexclust,3.5.0
flexdashboard,3.5.0
flexmix,3.5.0
flexsurv,3.5.0
flock,3.5.0
FME,3.5.0
fmri,3.5.0
FMStable,3.5.0
FNN,3.5.0
foghorn,3.5.0
fontBitstreamVera,3.5.0
fontcm,3.5.0
fontLiberation,3.5.0
fontquiver,3.5.0
forcats,3.5.0
foreach,3.5.0
forecast,3.5.0
forestplot,3.5.0
formatR,3.5.0
formattable,3.5.0
Formula,3.5.0
fortunes,3.5.0
fpc,3.5.0
fracdiff,3.5.0
fractal,3.5.0
fractaldim,3.5.0
franc,3.5.0
fs,3.5.1
FSelector,3.5.0
fTrading,3.5.0
fts,3.5.0
fulltext,3.5.0
futile.logger,3.5.0
futile.options,3.5.0
future,3.5.0
future.apply,3.5.0
fuzzyjoin,3.5.0
FuzzyNumbers,3.5.0
fuzzyRankTests,3.5.0
GA,3.5.0
gam,3.5.0
gamboostLSS,3.5.0
gamlss,3.5.0
gamlss.cens,3.5.0
gamlss.data,3.5.0
gamlss.dist,3.5.0
gamm4,3.5.0
gap,3.5.0
gapminder,3.5.0
gargle,3.5.0
gbm,3.5.0
gbRd,3.5.0
gclus,3.5.0
gdalUtils,3.5.0
gdata,3.5.0
GDINA,3.5.0
gdtools,3.5.0
gee,3.5.0
geepack,3.5.0
geiger,3.5.0
genalg,3.5.0
GenBinomApps,3.5.0
gender,3.5.0
GeneNet,3.5.0
GeneralizedHyperbolic,3.5.0
GenOrd,3.5.0
geojson,3.5.0
geojsonio,3.5.0
geojsonlint,3.5.0
geometry,3.5.0
geomorph,3.5.0
geonames,3.5.0
geoR,3.5.0
geosphere,3.5.0
GERGM,3.5.0
getopt,3.5.0
getPass,3.5.0
GGally,3.5.0
ggalt,3.5.0
ggbeeswarm,3.5.0
ggdendro,3.5.0
ggExtra,3.5.0
ggforce,3.5.0
ggformula,3.5.0
ggfortify,3.5.0
ggjoy,3.5.0
ggm,3.5.0
ggmap,3.5.0
ggmosaic,3.5.0
ggplot2,3.5.0
ggplot2movies,3.5.0
ggplotify,3.5.0
ggpubr,3.5.0
ggraph,3.5.0
ggrepel,3.5.0
ggridges,3.5.0
ggsci,3.5.0
ggsignif,3.5.0
ggthemes,3.5.0
gh,3.5.1
GIGrvg,3.5.0
GISTools,3.5.0
gistr,3.5.0
git2r,3.5.1
githubinstall,3.5.0
gitlabr,3.5.0
glm2,3.5.0
glmmTMB,3.5.0
glmnet,3.5.0
GlobalOptions,3.5.0
globals,3.5.0
glue,3.5.1
gmailr,3.5.0
gmm,3.5.0
gmodels,3.5.0
gmp,3.5.0
gnm,3.5.0
gof,3.5.0
goftest,3.5.0
goodpractice,3.5.0
googleAuthR,3.5.0
googleCloudStorageR,3.5.0
googledrive,3.5.0
googleformr,3.5.0
googlesheets,3.5.0
googlesheets4,3.5.0
googleVis,3.5.0
gower,3.5.0
GPArotation,3.5.0
gpg,3.5.0
gplots,3.5.0
gRbase,3.5.0
gridBase,3.5.0
gridExtra,3.5.0
gridGraphics,3.5.0
gridSVG,3.5.0
grImport,3.5.0
grnn,3.5.0
grpreg,3.5.0
gsl,3.5.0
gss,3.5.0
gstat,3.5.0
gsubfn,3.5.0
gtable,3.5.0
gtools,3.5.0
gutenbergr,3.5.0
gWidgets,3.5.0
gWidgets2,3.5.0
gWidgets2tcltk,3.5.0
haplo.stats,3.5.0
haven,3.5.0
HDInterval,3.5.0
hdrcde,3.5.0
heatmaply,3.5.0
heplots,3.5.0
here,3.5.0
hett,3.5.0
hexbin,3.5.0
hflights,3.5.0
HI,3.5.0
HIBPwned,3.5.0
HiClimR,3.5.0
highlight,3.5.0
highlite,3.5.0
highr,3.5.0
Hmisc,3.5.0
hms,3.5.1
hnp,3.5.0
hoardr,3.5.0
hrbrthemes,3.5.0
HSAUR,3.5.0
HSAUR2,3.5.0
htmldeps,3.5.1
htmlTable,3.5.0
htmltools,3.5.1
htmlwidgets,3.5.0
httpcode,3.5.0
httpuv,3.5.0
httr,3.5.0
humaniformat,3.5.0
hunspell,3.5.0
hwriter,3.5.0
HyperbolicDist,3.5.0
hypergeo,3.5.0
ICGE,3.5.0
IDPmisc,3.5.0
ids,3.5.0
ifultools,3.5.0
igraph,3.5.0
igraphdata,3.5.0
ijtiff,3.5.0
imager,3.5.0
import,3.5.0
imputeYn,3.5.0
ineq,3.5.0
influenceR,3.5.0
infotheo,3.5.0
ini,3.5.0
inline,3.5.0
intergraph,3.5.0
intervals,3.5.0
intubate,3.5.0
inum,3.5.0
iplots,3.5.0
ipred,3.5.0
irlba,3.5.0
Iso,3.5.0
ISOcodes,3.5.0
ISwR,3.5.0
iterators,3.5.0
itertools,3.5.0
jadd,3.5.0
JADE,3.5.0
janeaustenr,3.5.0
janitor,3.5.0
jomo,3.5.0
jose,3.5.0
jpeg,3.5.0
jqr,3.5.0
jsonlite,3.5.0
jsonvalidate,3.5.0
kdecopula,3.5.0
kedd,3.5.0
Kendall,3.5.0
kernelFactory,3.5.0
kernlab,3.5.0
kimisc,3.5.0
klaR,3.5.0
kmer,3.5.0
knitr,3.5.0
koRpus,3.5.0
ks,3.5.0
kSamples,3.5.0
kyotil,3.5.0
label.switching,3.5.0
labeling,3.5.0
labelled,3.5.0
laeken,3.5.0
LaF,3.5.0
Lahman,3.5.0
lambda.r,3.5.0
LambertW,3.5.0
lamW,3.5.0
LaplacesDemon,3.5.0
lars,3.5.0
lasso2,3.5.0
latentnet,3.5.0
later,3.5.0
latticeExtra,3.5.0
LatticeKrig,3.5.0
lava,3.5.0
lavaan,3.5.0
lavaan.survey,3.5.0
lazyData,3.5.0
lazyeval,3.5.0
lazyrmd,3.5.0
lda,3.5.0
ldbounds,3.5.0
leaflet,3.5.0
leaflet.minicharts,3.5.0
leafletR,3.5.0
leaps,3.5.0
LearnBayes,3.5.0
lfe,3.5.0
lgarch,3.5.0
lhs,3.5.0
libcoin,3.5.0
limSolve,3.5.0
LinkedMatrix,3.5.0
lintr,3.5.0
liqueueR,3.5.0
listenv,3.5.0
listviewer,3.5.0
llama,3.5.0
lme4,3.5.0
lmerTest,3.5.0
lmtest,3.5.0
loa,3.5.0
lobstr,3.5.0
locfit,3.5.0
logistf,3.5.0
logspline,3.5.0
lokern,3.5.0
longitudinal,3.5.0
longmemo,3.5.0
loo,3.5.0
lookup,3.5.1
lpSolve,3.5.0
lpSolveAPI,3.5.0
lsa,3.5.0
LSD,3.5.0
lsr,3.5.0
ltsa,3.5.0
lubridate,3.5.0
Luminescence,3.5.0
lwgeom,3.5.0
maddison,3.5.0
magic,3.5.0
magick,3.5.0
magrittr,3.5.0
mallet,3.5.0
manipulate,3.5.0
manipulateWidget,3.5.0
mapdata,3.5.0
mapproj,3.5.0
maps,3.5.0
maptools,3.5.0
mapview,3.5.0
markdown,3.5.0
matlab,3.5.0
matrixcalc,3.5.0
MatrixModels,3.5.0
matrixStats,3.5.0
